Year,State,SA3 code,SA3 name,SA3 group,Service,Per cent of people who had the service (%),Services per 100 people,Medicare benefits per 100 people ($)
2017-18,Qld,30910,Surfers Paradise,Major cities - medium SES,Specialist attendances (total),59.86,248.08,"$19,808 "
2017-18,Qld,30910,Surfers Paradise,Major cities - medium SES,Specialist attendances (total),29.22,97.41,"$8,231 "
2017-18,Qld,30910,Surfers Paradise,Major cities - medium SES,Specialist attendances (total),31.25,102.97,"$8,706 "
2017-18,Qld,30910,Surfers Paradise,Major cities - medium SES,Specialist attendances (total),27.19,91.85,"$7,758 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health subtotal - Mental Health Care,4.62,20.26,"$2,103 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Clinical Psychologist,1.95,8.57,1086
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Other Allied Mental Health,0.31,1.38,$115 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Other Psychologist,2.57,10.32,$901 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health subtotal - Optometry,27.25,36.26,"$1,652 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health subtotal - Other,5.09,14,$756 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Audiology,0.03,0.05,$2 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diabetes Education,0.2,0.43,$24 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Dietetics,1.58,2.72,$145 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Occupational Therapy,0.11,0.33,$24 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Other Allied Health,0.08,0.1,$5 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Podiatry,3.42,9.94,$527 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Speech Pathology,0.14,0.44,$29 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health subtotal - Physical Health Care,4.84,15.72,$830 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Chiropractic Services,0.21,0.8,$43 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Exercise Physiology,0.76,1.35,$67 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Osteopathy,0.05,0.14,$8 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Physiotherapy,4.1,13.43,$713 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),20.97,45.56,"$3,160 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),25.77,59.4,"$4,094 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),49.86,125.38,"$7,460 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),68.08,215.55,"$11,695 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),34.05,86.24,"$5,342 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),39.35,103.97,"$6,491 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Allied Health attendances (total),28.87,68.95,"$4,221 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),21.98,39.58,"$3,605 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),36.21,85.49,"$9,537 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),51.41,146.77,"$20,083 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),62.61,213.56,"$31,216 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),37.4,96.76,"$12,139 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),44.1,122.31,"$14,673 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diagnostic Imaging (total),30.87,71.83,"$9,668 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP After-hours (non-urgent),30.93,62.1,"$3,316 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP After-hours (urgent),5.4,7.78,$986 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP subtotal - After-hours,33.7,69.89,"$4,302 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Chronic Disease Management Plan,12.32,29.32,"$3,206 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Health Assessment,3.95,4.09,$822 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Mental Health,7.5,12.7,"$1,036 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Multidisciplinary Case Conference,0.14,0.21,$23 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP subtotal - Enhanced Primary Care,19.99,46.76,"$5,145 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Medication Management Review (domiciliary),0.23,0.23,$36 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Medication Management Review (residential),0.2,0.2,$21 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Acupuncture,NP,NP,NP
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Long (Level C),35.4,80.48,"$5,807 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Focussed Psychological Strategies and Family Group Therapy,0.06,0.17,$22 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Pregnancy Support Counselling,0.03,0.04,$3 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Prolonged - Imminent danger of death,0.03,0.03,$8 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Prolonged (Level D),4.81,7.26,$779 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Short (Level A),8.16,12.5,$218 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Standard (Level B),82.5,454.87,"$16,984 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP subtotal - Other,85.33,574.18,"$24,404 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP Telehealth (patient-end),NP,NP,NP
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Other Non-referred Medical Practitioner,5.59,11.57,$294 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Asthma Cycle of Care PIP,0.12,0.12,$6 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Cervical Smear PIP,0.26,0.26,$16 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Diabetes Mellitus Annual Cycle of Care PIP,1.19,1.2,$73 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP subtotal - PIP,1.56,1.59,$95 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),86.85,491.6,"$22,832 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),79.56,575.35,"$27,740 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),93.87,834.85,"$41,311 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),98.99,"1,389.83","$72,833 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),87.48,692.41,"$33,947 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),92.86,803.37,"$39,835 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,GP attendances (total),82.23,584.14,"$28,202 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Midwifery,0.08,0.27,$14 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nurse Practitioners,0.86,2.76,$70 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Practice Nurse/Aboriginal Health Worker,5.21,10.53,$157 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),1.95,2.89,$64 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),3.78,6.77,$145 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),9.8,19.94,$310 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),18.49,54.68,$953 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),6.08,13.56,$241 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),7.05,15.97,$296 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),5.13,11.21,$187 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Early Intervention Services for Children,0.05,0.05,$12 
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Psychiatry,1.52,8.16,"$1,229 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),12.07,27.05,"$2,694 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),15.95,41.47,"$3,730 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),29.38,83.59,"$6,847 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),48.22,166.44,"$13,127 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),21.09,59.38,"$5,083 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),24.23,70.05,"$5,948 "
2017-18,Qld,31001,Forest Lake - Oxley,Major cities - lower SES,Specialist attendances (total),18.01,48.97,"$4,239 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health subtotal - Mental Health Care,5.11,22.42,"$2,224 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Clinical Psychologist,1.86,7.8,979
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Other Allied Mental Health,0.74,3.1,$241 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Other Psychologist,2.87,11.52,"$1,004 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health subtotal - Optometry,30.44,39.44,"$1,874 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health subtotal - Other,8.66,26.2,"$1,396 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Audiology,0.03,0.08,$5 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diabetes Education,0.27,0.43,$23 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Dietetics,2.23,4.23,$224 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Occupational Therapy,0.23,0.55,$34 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Other Allied Health,0.32,0.33,$18 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Podiatry,6.12,19.92,"$1,055 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Speech Pathology,0.22,0.65,$37 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health subtotal - Physical Health Care,5.22,15.66,$809 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Chiropractic Services,0.67,2.24,$119 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Exercise Physiology,1.32,3.2,$148 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Osteopathy,0.15,0.41,$22 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Physiotherapy,3.37,9.81,$520 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),23.64,54.28,"$3,842 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),28.33,66.61,"$4,668 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),46.22,114.71,"$6,910 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),69.15,221,"$11,786 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),39.12,103.72,"$6,303 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),44.88,121.79,"$7,471 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Allied Health attendances (total),33.54,86.24,"$5,173 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),25.91,49.09,"$4,770 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),41.61,99.88,"$12,712 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),49.19,148.25,"$21,713 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),60.65,212.6,"$33,779 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),42.09,117.25,"$16,444 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),47.74,139.7,"$18,457 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diagnostic Imaging (total),36.63,95.53,"$14,497 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP After-hours (non-urgent),17.85,34.38,"$1,909 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP After-hours (urgent),1.87,2.43,$308 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP subtotal - After-hours,18.96,36.81,"$2,217 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Chronic Disease Management Plan,18.76,44.67,"$4,755 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Health Assessment,4.75,4.86,"$1,040 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Mental Health,9.43,15.02,"$1,236 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Multidisciplinary Case Conference,0.13,0.18,$18 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP subtotal - Enhanced Primary Care,27.53,65.69,"$7,185 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Medication Management Review (domiciliary),0.68,0.69,$106 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Medication Management Review (residential),0.27,0.27,$29 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Acupuncture,0.16,0.88,$34 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Long (Level C),39.37,89.93,"$6,485 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Focussed Psychological Strategies and Family Group Therapy,NP,NP,NP
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Pregnancy Support Counselling,NP,NP,NP
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Prolonged - Imminent danger of death,0.04,0.04,$10 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Prolonged (Level D),4.95,6.82,$728 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Short (Level A),8.85,12.61,$220 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Standard (Level B),87.28,502.8,"$18,783 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP subtotal - Other,89.79,620.39,"$26,538 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP Telehealth (patient-end),0.72,1.63,$129 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Other Non-referred Medical Practitioner,3.07,5.62,$143 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Asthma Cycle of Care PIP,0.19,0.19,$11 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Cervical Smear PIP,0.31,0.31,$19 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Diabetes Mellitus Annual Cycle of Care PIP,0.94,0.95,$51 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP subtotal - PIP,1.43,1.45,$81 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),88.86,472.4,"$21,687 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),89.96,619.5,"$29,698 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),90.75,761.61,"$38,025 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),97.11,"1,246.58","$66,353 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),91.11,724.35,"$36,021 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),94.99,819.45,"$40,865 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,GP attendances (total),87.36,632.35,"$31,335 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Midwifery,0.12,0.83,$55 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nurse Practitioners,0.45,1.27,$41 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Practice Nurse/Aboriginal Health Worker,7.78,13.54,$179 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),2.37,4.26,$109 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),3.8,9.55,$334 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),8.41,14.31,$217 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),24.34,45.53,$586 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),8.31,15.64,$275 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),9.25,18.11,$363 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Nursing and Aboriginal Health Workers (total),7.4,13.25,$189 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Early Intervention Services for Children,0.09,0.09,$21 
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Psychiatry,1.78,7.5,"$1,360 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),14.96,34.1,"$3,430 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),19.01,48.05,"$4,520 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),29.13,82.75,"$6,879 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),46.99,153.94,"$11,380 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),25.55,72.21,"$6,057 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),28.02,79.55,"$6,707 "
2017-18,Qld,31002,Ipswich Hinterland,Inner regional,Specialist attendances (total),23.15,65.12,"$5,428 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health subtotal - Mental Health Care,5.94,26.59,"$2,576 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Clinical Psychologist,1.59,6.96,877
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Other Allied Mental Health,0.71,2.97,$242 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Other Psychologist,3.94,16.66,"$1,457 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health subtotal - Optometry,30.23,39.66,"$1,880 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health subtotal - Other,8.15,23.98,"$1,288 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Audiology,0.07,0.09,$4 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diabetes Education,0.2,0.3,$16 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Dietetics,1.88,3.49,$185 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Occupational Therapy,0.36,0.81,$57 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Other Allied Health,0.74,0.82,$44 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Podiatry,5.52,17.45,$924 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Speech Pathology,0.36,1.02,$58 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health subtotal - Physical Health Care,4.09,11.26,$592 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Chiropractic Services,0.39,1.17,$62 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Exercise Physiology,0.95,1.81,$90 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Osteopathy,0.09,0.25,$13 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Physiotherapy,2.9,8.03,$427 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),24.77,60.28,"$4,266 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),29.62,72.37,"$5,110 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),51.03,123.81,"$7,435 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),74.89,235.49,"$12,619 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),38.85,101.49,"$6,337 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),44.25,117.71,"$7,392 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Allied Health attendances (total),33.32,84.88,"$5,257 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),25.75,48.36,"$4,712 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),41.44,99.27,"$12,257 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),53.23,163.01,"$23,415 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),67.41,246.25,"$38,648 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),41.99,115.27,"$15,634 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),47.77,139.86,"$18,113 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diagnostic Imaging (total),36.08,90.09,"$13,096 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP After-hours (non-urgent),28.44,57.08,"$3,138 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP After-hours (urgent),8.01,11.86,"$1,480 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP subtotal - After-hours,32.58,68.94,"$4,618 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Chronic Disease Management Plan,14.28,36.26,"$3,827 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Health Assessment,5.65,5.79,"$1,153 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Mental Health,10.57,17.01,"$1,403 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Multidisciplinary Case Conference,0.23,0.35,$38 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP subtotal - Enhanced Primary Care,25.53,60,"$6,496 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Medication Management Review (domiciliary),0.25,0.25,$39 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Medication Management Review (residential),0.34,0.34,$36 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Acupuncture,0.23,1.64,$53 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Long (Level C),41.01,93.44,"$6,748 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Focussed Psychological Strategies and Family Group Therapy,0.07,0.12,$15 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Pregnancy Support Counselling,0.02,0.02,$2 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Prolonged - Imminent danger of death,0.05,0.05,$11 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Prolonged (Level D),4.93,7.42,$794 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Short (Level A),8.02,11.83,$207 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Standard (Level B),88.54,482.59,"$18,038 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP subtotal - Other,91.56,607.58,"$26,134 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP Telehealth (patient-end),0.08,0.13,$13 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Other Non-referred Medical Practitioner,4.69,10.34,$254 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Asthma Cycle of Care PIP,0.34,0.34,$17 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Cervical Smear PIP,0.21,0.21,$13 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Diabetes Mellitus Annual Cycle of Care PIP,0.98,0.99,$57 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP subtotal - PIP,1.5,1.53,$87 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),90.46,512.39,"$25,343 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),89.09,642.91,"$31,875 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),96.57,826.99,"$41,768 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),100,"1,396.73","$73,717 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),93.74,738.05,"$37,335 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),96.85,835.08,"$42,531 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,GP attendances (total),90.55,638.71,"$32,014 "
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Midwifery,0.14,1,$68 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nurse Practitioners,0.52,1.98,$67 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Practice Nurse/Aboriginal Health Worker,6.62,11.69,$176 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),3.13,5.84,$146 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),4.2,10.7,$376 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),8.9,17.53,$307 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),21.74,42.04,$633 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),7.22,14.66,$311 
2017-18,Qld,31003,Ipswich Inner,Major cities - lower SES,Nursing and Aboriginal Health Workers (total),8.09,17.68,$424 
